windchill,datetime,conditions,events,precip,gustspeed,windspeed,winddir,visibility,pressure,humidity,dewpoint,heatindex,temp,time,date
,2006-01-01T01:00:00Z,,,-,,9.2,wsw,9,29.87,56,40,,51,1:00 AM,01-01-2006
,2006-01-01T00:30:00Z,scattered clouds,,n/a,,11.5,west,6.2,29.86,67,42.8,,53.6,12:30 AM,01-01-2006
,2006-01-01T00:00:00Z,scattered clouds,,n/a,,9.2,wsw,6.2,29.89,67,42.8,,53.6,12:00 AM,01-01-2006
,2006-01-02T01:00:00Z,,,-,,20.7,nw,19,29.97,44,32,,47,1:00 AM,02-01-2006
,2006-01-02T00:30:00Z,clear,,n/a,,20.7,nw,,29.95,58,35.6,,50,12:30 AM,02-01-2006
,2006-01-02T00:00:00Z,clear,,n/a,,24.2,nnw,,29.95,58,35.6,,50,12:00 AM,02-01-2006
,2006-01-03T01:00:00Z,,,-,,10.4,nnw,19,30.1,25,23,,47,1:00 AM,03-01-2006
,2006-01-03T00:30:00Z,clear,,n/a,,10.4,nnw,,30.09,43,28.4,,50,12:30 AM,03-01-2006
,2006-01-03T00:00:00Z,clear,,n/a,,11.5,nnw,,30.09,38,26.6,,51.8,12:00 AM,03-01-2006
,2006-01-04T01:00:00Z,scattered clouds,,-,,10.4,north,9,30.21,53,29,,40,1:00 AM,04-01-2006
,2006-01-04T00:30:00Z,partly cloudy,,n/a,,10.4,north,6.2,30.18,66,33.8,,44.6,12:30 AM,04-01-2006
,2006-01-04T00:00:00Z,partly cloudy,,n/a,,10.4,north,6.2,30.18,66,33.8,,44.6,12:00 AM,04-01-2006
,2006-01-05T01:00:00Z,scattered clouds,,-,,10.4,north,7,30.04,62,31,,39,1:00 AM,05-01-2006
,2006-01-05T00:30:00Z,scattered clouds,,n/a,,6.9,nnw,6.2,30.04,76,35.6,,42.8,12:30 AM,05-01-2006
,2006-01-05T00:00:00Z,scattered clouds,,n/a,,8.1,nnw,6.2,30.04,76,35.6,,42.8,12:00 AM,05-01-2006
,2006-01-06T01:00:00Z,mist,,-,,8.1,north,2,29.89,79,34,,38,1:00 AM,06-01-2006
,2006-01-06T00:30:00Z,mostly cloudy,,n/a,,6.9,north,3.1,29.89,93,39.2,,41,12:30 AM,06-01-2006
,2006-01-06T00:00:00Z,mostly cloudy,,n/a,,9.2,north,3.7,29.89,87,37.4,,41,12:00 AM,06-01-2006
,2006-01-07T01:00:00Z,mist,,-,,10.4,north,4,29.97,79,43,,47,1:00 AM,07-01-2006
,2006-01-07T00:30:00Z,mostly cloudy,,n/a,,10.4,north,4.3,29.95,87,46.4,,50,12:30 AM,07-01-2006
,2006-01-07T00:00:00Z,mostly cloudy,,n/a,,9.2,north,3.7,29.95,87,46.4,,50,12:00 AM,07-01-2006
,2006-01-08T01:00:00Z,light drizzle,rain,-,,13.8,east,8,30.05,58,43,,53,1:00 AM,08-01-2006
,2006-01-08T00:30:00Z,light rain,rain,n/a,,13.8,ese,5.6,30.04,77,48.2,,55.4,12:30 AM,08-01-2006
,2006-01-08T00:00:00Z,light rain,rain,n/a,,6.9,sse,5.6,30.04,88,50,,53.6,12:00 AM,08-01-2006
,2006-01-09T01:00:00Z,partly cloudy,,-,,10.4,north,6,30.26,75,43,,48,1:00 AM,09-01-2006
,2006-01-09T00:30:00Z,mostly cloudy,,n/a,,6.9,north,6.2,30.24,82,46.4,,51.8,12:30 AM,09-01-2006
,2006-01-09T00:00:00Z,mostly cloudy,,n/a,,8.1,north,6.2,30.24,82,46.4,,51.8,12:00 AM,09-01-2006
,2006-01-10T01:00:00Z,scattered clouds,,-,,5.8,nnw,7,30.31,80,44,,48,1:00 AM,10-01-2006
,2006-01-10T00:30:00Z,mostly cloudy,,n/a,,5.8,nw,6.2,30.3,88,48.2,,51.8,12:30 AM,10-01-2006
,2006-01-10T00:00:00Z,mostly cloudy,,n/a,,4.6,north,6.2,30.3,82,46.4,,51.8,12:00 AM,10-01-2006
,2006-01-11T01:00:00Z,mist,,-,,5.8,nnw,6,30.42,76,42,,47,1:00 AM,11-01-2006
,2006-01-11T00:30:00Z,mostly cloudy,,n/a,,5.8,nnw,6.2,30.42,87,46.4,,50,12:30 AM,11-01-2006
,2006-01-12T01:00:00Z,,,-,,12.7,north,6,30.45,75,34,,39,1:00 AM,12-01-2006
,2006-01-12T00:30:00Z,clear,,n/a,,11.5,nnw,,30.42,81,37.4,,42.8,12:30 AM,12-01-2006
,2006-01-12T00:00:00Z,clear,,n/a,,12.7,north,,30.42,87,39.2,,42.8,12:00 AM,12-01-2006
,2006-01-13T01:00:00Z,mist,,-,,9.2,north,4,30.36,77,36,,41,1:00 AM,13-01-2006
,2006-01-13T00:30:00Z,scattered clouds,,n/a,,9.2,nnw,3.7,30.36,87,41,,44.6,12:30 AM,13-01-2006
,2006-01-13T00:00:00Z,partly cloudy,,n/a,,9.2,north,3.7,30.36,87,41,,44.6,12:00 AM,13-01-2006
,2006-01-14T01:00:00Z,scattered clouds,,-,,11.5,north,6,30.35,73,33,,39,1:00 AM,14-01-2006
,2006-01-14T00:30:00Z,partly cloudy,,n/a,,8.1,nnw,6.2,30.33,81,37.4,,42.8,12:30 AM,14-01-2006
,2006-01-14T00:00:00Z,partly cloudy,,n/a,,6.9,nnw,6.2,30.33,81,37.4,,42.8,12:00 AM,14-01-2006
,2006-01-15T01:00:00Z,mist,,-,,9.2,north,5,30.27,75,35,,40,1:00 AM,15-01-2006
,2006-01-15T00:30:00Z,partly cloudy,,n/a,,8.1,nnw,5.6,30.27,81,39.2,,44.6,12:30 AM,15-01-2006
,2006-01-15T00:00:00Z,partly cloudy,,n/a,,6.9,nnw,5,30.27,81,39.2,,44.6,12:00 AM,15-01-2006
,2006-01-16T01:00:00Z,rain,rain,-,,6.9,north,1,30.12,89,41,,43,1:00 AM,16-01-2006
,2006-01-16T00:30:00Z,rain,rain,n/a,,8.1,nnw,1.6,30.12,93,44.6,,46.4,12:30 AM,16-01-2006
,2006-01-16T00:00:00Z,rain,rain,n/a,,3.5,north,1.6,30.12,93,44.6,,46.4,12:00 AM,16-01-2006
,2006-01-17T01:00:00Z,mist,,-,,10.4,north,4,30.16,81,42,,46,1:00 AM,17-01-2006
,2006-01-17T00:30:00Z,mostly cloudy,,n/a,,9.2,north,4.3,30.15,93,46.4,,48.2,12:30 AM,17-01-2006
,2006-01-17T00:00:00Z,mostly cloudy,,n/a,,8.1,north,4.3,30.15,93,46.4,,48.2,12:00 AM,17-01-2006
,2006-01-18T01:00:00Z,scattered clouds,,-,,12.7,wsw,8,30.06,69,44,,51,1:00 AM,18-01-2006
,2006-01-18T00:30:00Z,mostly cloudy,,n/a,,13.8,wsw,5.6,30.06,82,48.2,,53.6,12:30 AM,18-01-2006
,2006-01-18T00:00:00Z,mostly cloudy,,n/a,,15,wsw,5.6,30.06,82,48.2,,53.6,12:00 AM,18-01-2006
,2006-01-19T01:00:00Z,mist,,-,,6.9,north,5,30.06,76,40,,45,1:00 AM,19-01-2006
,2006-01-19T00:30:00Z,clear,,n/a,,8.1,north,5,30.04,87,44.6,,48.2,12:30 AM,19-01-2006
